Resource title,Resource Description,Resource URL,Internal/External,Category,Sub Category,Keywords
Canadian taxes and benefits,"Find Canadian tax credits, incentives and benefits that will help you with caring for others.",https://www.canada.ca/en/revenue-agency/services/tax/individuals/segments/tax-credits-deductions-persons-disabilities.html,External,Caregiving,Employment benefits,
Ontario taxes and benefits,"Find Ontario tax credits, incentives and benefits that will help you with caring for others.",https://www.ontario.ca/page/taxes-and-benefits,Internal,Caregiving,Employment benefits,
What to do when someone dies,"Find answers to common questions about what to do, and what support is available, when a loved one dies in Ontario. ",https://www.ontario.ca/page/what-do-when-someone-dies,Internal,Caregiving,End of life decisions,"death, dying, passed away"
Funerals and arrangements,"Learn about planning a funeral, burial, cremation or scattering, and what to do if you discover a burial site. ",https://www.ontario.ca/page/consumer-protection-when-planning-funeral-burial-cremation-or-scattering,Internal,Caregiving,End of life decisions,"dies, dying, passed away"
Last Post Fund,"Find out how eligible veterans can get funding for a dignified funeral and burial, and a military gravestone. ",https://www.lastpostfund.ca/,External,Caregiving,End of life decisions,"dies, dying, passed away"
"Bereavement Authority of 
Ontario","Know your options, rights and learn about funerals, burials, cremations and hydrolysis. ",https://thebao.ca/,External,Caregiving,End of life decisions,"dies, dying, passed away"
Bereaved Families of Ontario,"Find free individual and group grieving support programs, in both an open and closed setting if someone has died. ",https://bereavedfamilies.net/,External,Caregiving,End of life decisions,"dies, dying, passed away"
Death outside Canada,Find out what to do if a person dies in another country. ,https://travel.gc.ca/assistance/emergency-info/death-abroad,External,Caregiving,End of life decisions,"past away, passed away"
"Oversee the deceased's 
finances","If you are the executor of a deceased person’s estate, you will need to settle their tax accounts with the Canada Revenue Agency (CRA).",https://www.canada.ca/en/revenue-agency/services/tax/individuals/life-events/doing-taxes-someone-died.html,External,Caregiving,End of life decisions,"power of attorney, dies, dying, passed away"
Administrating estates,"Learn how someone’s assets and liabilities are handled after they die, including what happens if a person dies with or without a will. ",https://www.ontario.ca/page/administering-estates,Internal,Caregiving,End of life decisions,"death, dying, power of attorney, deceased, passed away"
Ontario death certificate,"When someone dies in Ontario, order and use this certificate to settle an estate, access benefits or cancel certain government services. ",https://www.ontario.ca/page/how-get-copy-ontario-death-certificate-online,Internal,Caregiving,End of life decisions,"dies, dying, passed away"
Home and Community Care Support Services,Find a local service provider to arrange transportation services for when you need help and/or if other options are not available. ,https://www.healthcareathome.ca/find-my-hccss/,External,Driving and transportation,Transportation services,
Northern Travel Health Grant,Apply for financial assistance if you live in Northern Ontario and must travel long distances to access medical specialist services. ,https://www.health.gov.on.ca/en/public/publications/ohip/northern.aspx,Internal,Driving and transportation,Transportation services,
GO Transit discount,Get a discount on your train or bus ride if you are 65 years or older. ,https://www.gotransit.com/en/travelling-on-go/seniors,External,Driving and transportation,Transportation services,
Non-insured health benefits for First Nations and Inuit ,Get health and medical transportation coverage.,https://www.sac-isc.gc.ca/eng/1572537161086/1572537234517,External,Driving and transportation,Transportation services,financial assistance
Volunteer Driver Services: Canadian Red Cross,Find volunteer driver services that may be available in your area through the Canadian Red Cross.,https://www.redcross.ca/in-your-community/ontario/ontario-find-a-branch,External,Driving and transportation,Transportation services,
Volunteer Driver Services: Royal Canadian Legion,Find volunteer driver services that may be available by your local Royal Canadian Legion branch.,https://www.legion.ca/contact-us/find-a-branch,External,Driving and transportation,Transportation services,
Volunteer Driver Services: Seniors Active Living Centre programs,Find volunteer driver services that may be available in your area through Seniors Active Living Centre programs.,https://www.ontario.ca/page/find-seniors-active-living-centre-program-near-you,Internal,Driving and transportation,Transportation services,
211 Ontario,"Search in your area for: 
  - public transportation 
  - bus and specialized transit services  
  - organizations that provide transportation services",https://211ontario.ca/?_gl=1%2A1rsprgh%2A_ga%2ANDc1MjE5OTMxLjE2MDgzMjUzMTY.%2A_ga_HLLEK4SB6V%2AMTY3MzU1MDMxOS41LjEuMTY3MzU1MTYwNy4wLjAuMA..,External,Driving and transportation,Transportation services,
Driver's Licence renewal,"If you are under 80, you need to renew your driver’s licence every 5 years. Learn how to renew. ",https://www.ontario.ca/page/renew-drivers-licence,Internal,Driving and transportation,Driver's licence renewal,drivers license
"Driver's licence renewal: 
80 years and over ","After you turn 80, you need to renew your driver’s licence every 2 years. Learn how to renew. ",https://www.ontario.ca/page/renew-g-drivers-licence-80-years-and-over,Internal,Driving and transportation,Driver's licence renewal,drivers license
DriveTest Centres,"Search for a centre near you and book your vision, written and road tests for all licence types.  ",https://drivetest.ca/,External,Driving and transportation,Driver's licence renewal,"drivers license, renew"
"ServiceOntario digital 
reminders ","Get free reminders to renew your driver’s licence, licence plate, health card, or Ontario Photo Card. Service available for email, text message or phone call. ",https://www.ontario.ca/page/get-serviceontario-renewal-reminders,Internal,Driving and transportation,Driver's licence renewal,"drivers license, renewal"
Accessible parking permit,"Learn how to apply for a new accessible parking permit, get a traveller’s permit, get a permit for your company, replace a lost or stolen permit, or change information on your permit. ",https://www.ontario.ca/page/get-accessible-parking-permit,Internal,Driving and transportation,Vehicle permit and plates,"renew, renewal"
Veteran licence plate,Learn about the veteran graphic on licence plates and get the form to apply for one. ,https://www.ontario.ca/page/personalized-licence-plate#section-5,Internal,Driving and transportation,Vehicle permit and plates,
"Used vehicle information 
package (UVIP)","Learn how to order a UVIP that contains a description of a vehicle and its Ontario history. If you are the seller, you are legally required to provide this package to a buyer when you sell a pre-owned vehicle. ",https://www.ontario.ca/page/used-vehicle-information-package,Internal,Driving and transportation,Buying or selling vehicles,
"Canada Safety Council: 
55 Alive Driver Refresher Course ","For older drivers, take this driving course to help you address age-related driving challenges, review driving rules and learn common causes of collisions. ",https://canadasafetycouncil.org/product/55-alive-driver-refresher-course/,External,Driving and transportation,Mature driver education,
"Canadian Automobile 
Association (CAA): 
Senior Drivers Toolkit  ","Read through the toolkit designed for seniors and their loved ones. It helps you assess fitness to drive, maintain driving confidence and modify driving habits, if needed. ",https://www.caa.ca/driving-safely/senior-drivers/,External,Driving and transportation,Mature driver education,
Employment Ontario,"Get help with upgrading your skills, finding a job, training and skills development. ",https://www.ontario.ca/page/employment-ontario,Internal,Employment and learning,Working in Ontario,
"Ontario Job Creation
Partnerships","Participate in projects to gain skills, get work experience and increase your chances of finding long-term employment. ",https://www.ontario.ca/page/ontario-job-creation-partnerships,Internal,Employment and learning,Working in Ontario,
Better Jobs Ontario,"Get skills training and financial support if one of the following applies to you: 
  - laid off and have not been working 
  - laid off and are working a temporary job just to cover costs 
  - unemployed for six months or longer and you are part of a low-income household ",https://www.ontario.ca/page/better-jobs-ontario,Internal,Employment and learning,Working in Ontario,financial assistance
"Work in your 
profession or trade",Learn how to continue working in your profession or trade if you’ve been trained in another country.,https://www.ontario.ca/page/work-your-profession-or-trade,Internal,Employment and learning,Working in Ontario,
Employment Standards Act (ESA) ,"Know your rights under the law on minimum wage, hours of work limits, termination of employment, severance pay, vacation and more. ",https://www.ontario.ca/document/your-guide-employment-standards-act-0,Internal,Employment and learning,Working in Ontario,
Continuing education,Find education programs and courses that align with your learning and skills development goals.,https://www.ontario.ca/page/go-college-or-university-ontario,Internal,Employment and learning,Lifelong learning,
"TVO: Independent 
Learning Centre","Find flexible, affordable online high school courses and the personal support you need to reach your learning goals.  ",https://www.ilc.org/,External,Employment and learning,Lifelong learning,
Lifelong Learning Plan,"Find out how to withdraw money from your RRSPs to help pay for full-time education for yourself, your spouse or common-law partner. ",https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/rc4112/lifelong-learning-plan.html,External,Employment and learning,Lifelong learning,
"Third Age Network: 
An association of  
lifelong learning groups
 in Ontario ",Join or start a learning group for older adults. Meet new friends and learn in a friendly social setting.,https://thirdagenetwork.ca/,External,Employment and learning,Lifelong learning,
Computer training: public libraries,"Find computer training drop-ins or workshops, that will help you improve your technology and digital skills through your local public libraries.",https://www.ontario.ca/page/ontario-public-libraries#section-7 ,internal,Employment and learning,Lifelong learning,
Computer training: 211,"Search 211 for computer training, that will help you improve your technology and digital skills in your community.",https://211ontario.ca/?_gl=1%2A1rsprgh%2A_ga%2ANDc1MjE5OTMxLjE2MDgzMjUzMTY.%2A_ga_HLLEK4SB6V%2AMTY3MzU1MDMxOS41LjEuMTY3MzU1MTYwNy4wLjAuMA,External,Employment and learning,Lifelong learning,
Computer training: Seniors Active Living Centre program,Use our map to find computer training programs that may be available through Senior Active Living Centre programs near you.,https://www.ontario.ca/page/find-seniors-active-living-centre-program-near-you,internal,Employment and learning,Lifelong learning,
Ontario Arts Council,Learn what type of art grants are available to you and how to apply. ,https://www.arts.on.ca/,External,Employment and learning,Lifelong learning,
Get settled in Ontario,Everything you need to know about moving to and settling in Ontario.,https://www.ontario.ca/page/getting-settled-ontario ,Internal,Employment and learning,Services for newcomers,
Improve your English and French,"If you are an immigrant or refugee, you can take English and French language training classes. ",https://www.ontario.ca/page/improve-your-english-and-french,Internal,Employment and learning,Services for newcomers,
MOFIF (Mouvement Ontarien des Femmes Immigrantes Francophones) ,"Helps improves the lives for Francophone immigrant girls and women, and promotes integration and active participation in all areas of society.",http://mofif.ca/,External,Employment and learning,Services for newcomers,
Ontario Trillium Benefit,"Learn more about the tax-free payment that helps low-to moderate-income Ontario residents pay for energy costs, sales and property tax.",https://www.ontario.ca/page/ontario-trillium-benefit ,Internal,Finances,Tax credits,"caregiver, caregiving, home care, in-home care"
"Ontario Senior Homeowners’ Property Tax Grant, financial assistance","If you're a low-to-moderate income senior, you may be eligible for up to $500 back on your property taxes.",https://www.ontario.ca/page/senior-homeowners-property-tax-grant ,Internal,Finances,Tax credits,"caregiver, caregiving, home care, in-home care"
Ontario Seniors Care at Home Tax Credit,"Find out if you are eligible for a tax credit to help low- to moderate-income seniors with eligible medical expenses, including expenses that support aging at home such as hearing aids, hospital beds and attendant care.",https://www.ontario.ca/page/ontario-seniors-care-home-tax-credit ,Internal,Finances,Tax credits,"caregiver, caregiving, home care, in-home care"
Seniors Public Transit Tax Credit,"If you’re 65 years or older, find out if you could get a tax credit to help with public transit costs.",https://www.ontario.ca/page/ontario-seniors-public-transit-tax-credit ,Internal,Finances,Tax credits,community care
Low-Income Energy Assistance Program,"If you’re behind on your electricity or natural gas bill and face having your service disconnected, you may qualify for emergency financial help.",https://www.oeb.ca/consumer-information-and-protection/bill-assistance-programs/low-income-energy-assistance-program ,External,Finances,Tax credits,"caregiver, caregiving, home care, in-home care, financial assistance"
Ontario Electricity Support Program,"If you are a customer of an electricity utility and in a lower-income home, you may qualify for a reduction on your electricity bill.",https://ontarioelectricitysupport.ca/ ,External,Finances,Tax credits,"caregiver, caregiving, home care, in-home care, financial assistance"
Seniors' Home Safety Tax Credit,"If you are a senior or living with one, the Seniors’ Home Safety Tax Credit is a refundable personal income tax credit can help you make your home safer and more accessible, helping you stay in your home longer (available for the 2021 and 2022 tax years). ",https://www.ontario.ca/page/seniors-home-safety-tax-credit,Internal,Finances,Tax credits,
CRA: Canada Revenue Agency  ,"The CRA administers: 
  - tax laws for the Government of Canada and for most provinces and territories 
  - social and economic programs delivered through the tax system ",https://www.canada.ca/en/revenue-agency.html,External,Finances,Tax credits,
Taxpayer Bill of Rights,"Understand the treatment you are entitled to when you deal with the CRA. You have a right to be treated professionally,  courteously and fairly as a taxpayer.  ",https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/rc17/taxpayer-bill-rights-guide-understanding-your-rights-a-taxpayer.html,External,Finances,Tax credits,
Old Age Security,Apply to receive a pension that provides monthly payments to eligible Canadians who are 65 years or older. ,https://www.canada.ca/en/services/benefits/publicpensions/cpp/old-age-security.html,External,Finances,Pensions and other benefits,
Guaranteed Income Supplement,"Learn about this income supplement for low-income seniors living in Canada who receive  Old Age Security pension. Enrolment is automatic, but in certain cases you may need to apply.",https://www.canada.ca/en/services/benefits/publicpensions/cpp/old-age-security/guaranteed-income-supplement.html,External,Finances,Pensions and other benefits,
Benefit for your spouse or common-law partner ,Learn about how spouses or common-law partners may qualify to receive the Guaranteed Income Supplement Allowance or Allowance for the Survivor.,https://www.canada.ca/en/services/benefits/publicpensions/cpp/old-age-security/guaranteed-income-supplement/allowance.html  ,External,Finances,Pensions and other benefits,
"Canada Pension Plan (CPP) 
retirement pension  ","Apply for a monthly, taxable benefit that replaces part of your income when you retire. If you are a CPP contributor and qualify, you’ll receive this pension for the rest of your life.  ",https://www.canada.ca/en/services/benefits/publicpensions/cpp.html,External,Finances,Pensions and other benefits,
Canadian Pension Plan (CPP) disability benefits,Apply for monthly benefits if you are a CPP contributor under the age of 65 and cannot work because of a disability. ,https://www.canada.ca/en/services/benefits/publicpensions/cpp/cpp-disability-benefit.html,External,Finances,Pensions and other benefits,
Canadian Pension Plan (CPP) survivor’s pension  ,Apply for a monthly payment paid to the legal spouse or common-law partner of the deceased CPP contributor.  ,https://www.canada.ca/en/services/benefits/publicpensions/cpp/cpp-survivor-pension.html,External,Finances,Pensions and other benefits,
Canadian Pension Plan (CPP) death benefit  ,"Apply for a one-time payment, payable to the estate or other eligible individuals, on behalf of a deceased CPP contributor.  ",https://www.canada.ca/en/services/benefits/publicpensions/cpp/cpp-death-benefit.html,External,Finances,Pensions and other benefits,"dies, dying, passed away"
Canadian Pension Plan (CPP) children’s benefit  ,Learn about a monthly benefit for dependent children under 25 years of a deceased CPP contributor. ,https://www.canada.ca/en/services/benefits/publicpensions/cpp/cpp-childrens-benefit.html,External,Finances,Pensions and other benefits,
Canadian Pension Plan (CPP) pension sharing  ,Learn how to share your pension with your legal spouse or common-law partner.  ,https://www.canada.ca/en/services/benefits/publicpensions/cpp/share-cpp.html,External,Finances,Pensions and other benefits,
International social security agreements and the Canadian Pension Plan (CPP),Get help with your business if you are an employer who sends employees abroad or if you are a self-employed worker who provides services abroad and you are a CPP contributor. ,https://www.canada.ca/en/revenue-agency/services/tax/canada-pension-plan-cpp-employment-insurance-ei-rulings/international-social-security-agreements-canada-pension-plan.html,External,Finances,Pensions and other benefits,
Employment Insurance benefits and leave ,"Find benefits and leave information if you are a worker, sick or providing care for a loved one. Learn how to apply and submit reports. ",https://www.canada.ca/en/services/benefits/ei.html,External,Finances,Pensions and other benefits,
Guaranteed Annual Income System (GAINS) ,Get monthly non-taxable payments if you are an eligible low-income senior. ,https://www.ontario.ca/page/guaranteed-annual-income-system-payments-seniors,Internal,Finances,Pensions and other benefits,financial assistance
Service Canada ,Find a wide range of government services and benefits that are available to you. ,https://www.canada.ca/en/employment-social-development/corporate/portfolio/service-canada.html,External,Finances,Pensions and other benefits,
About your taxes,Learn how the Canadian tax system works. ,https://www.canada.ca/en/revenue-agency/services/tax/individuals/educational-programs.html,External,Finances,File your taxes,
File your tax return ,Learn about filing your personal income tax and benefit return. You can prepare and file your tax return with the CRA.,https://www.ontario.ca/page/filing-your-tax-return,Internal,Finances,File your taxes,
Individual tax filing assistance ,You may qualify to get help to do your taxes over the phone with the CRA.,https://www.canada.ca/en/revenue-agency/services/tax/individuals/community-volunteer-income-tax-program/individual-tax-filing-assistance.html ,External,Finances,File your taxes,
GST/HST NETFILE,File your goods and services tax/ harmonized sales tax (GST/HST) returns and eligible rebates directly to the Canada Revenue Agency (CRA) online.,https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/gst-hst-netfile.html ,External,Finances,File your taxes,
Community Volunteer Income Tax Program,Find out what you need to get your taxes done at a free tax clinic and if you are eligible.,https://www.canada.ca/en/revenue-agency/services/tax/individuals/community-volunteer-income-tax-program.html ,External,Finances,File your taxes,
FP Canada,Search for a professional financial planner in your area or verify the certification status of a planner. ,https://www.fpcanada.ca/findaplanner,External,Finances,Financial Planning,
Registered Retirement Savings Plan (RRSP)  ,Learn how a savings plan you contribute to over the course of your working life can help you save for retirement. RRSPs also have special tax advantages and benefits that can help you before you retire. ,https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/rrsps-related-plans.html,External,Finances,Financial Planning,
Registered Retirement Income Fund (RRIF)  ,"Learn how an arrangement between you and a carrier (an insurance company, a trust company or a bank) may allow you to draw an income from your other investments and savings. ",https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/registered-retirement-income-fund-rrif.html,External,Finances,Financial Planning,
Tax-Free Savings Account (TFSA)  ,Learn about this type of bank account that allows you to set moneyaside tax-free throughout your lifetime.  ,https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/tax-free-savings-account.html,External,Finances,Financial Planning,
Lifelong Learning Plan,"Learn about this plan that allows you to take up to $10,000 in a calendar year from your RRSPs to pay for training or education for you or your spouse/common-law partner.  ",https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/rrsps-related-plans/lifelong-learning-plan.html,External,Finances,Financial Planning,
GetSmarterAboutMoney.ca   ,Get unbiased and independent financial tools to help you make better financial decisions. ,https://www.getsmarteraboutmoney.ca/,External,Finances,Financial Planning,
Social assistance,"Learn how to get financial and employment assistance if you don’t have enough money for things like food and housing, or if you have a disability and are in financial need. ",https://www.ontario.ca/page/social-assistance,Internal,Finances,Financial aid,financial assistance
"March of Dimes Canada: Home and Vehicle 
Modification Program  ",Get funding for basic home and/or vehicle modifications if you have mobility restrictions. ,https://www.marchofdimes.ca/en-ca/programs/am/hvmp/Pages/modchvmp.aspx,External,Finances,Financial aid,financial assistance
Medical Expense Tax Credit,Get a tax credit if you have sustained significant medical expenses for yourself or your dependents. ,https://www.canada.ca/en/revenue-agency/services/tax/technical-information/income-tax/income-tax-folios-index/series-1-individuals/folio-1-health-medical/income-tax-folio-s1-f1-c1-medical-expense-tax-credit.html,External,Finances,Financial aid,financial assistance
Veterans Affairs Canada,"Find specific services and benefits to improve your well-being if you are a current or former member of the CAF or RCMP, or a family member. ",https://www.veterans.gc.ca/,External,Finances,For Veterans,
Bureau of Pensions Advocates  ,Get free legal advice and representation to help you review or appeal a disability benefits decision made by Veterans Affairs Canada. ,https://www.veterans.gc.ca/eng/veterans-rights/how-to-appeal/bureau-pensions-advocates,External,Finances,For Veterans,
War Veterans Allowance  ,"Get a tax-free monthly benefit if you are a low-income war veteran, their dependent or survivor. ",https://www.veterans.gc.ca/eng/financial-support/income-support/war-veterans-allowance,External,Finances,For Veterans,
Soldiers’ Aid Commission of Ontario ,Learn about the commission and how it provides financial assistance to eligible veterans and their families in financial need. ,https://www.ontario.ca/page/soldiers-aid-commission,Internal,Finances,For Veterans,
Royal Canadian Legion: Benevolent Funds  ,"Learn how this fund provides emergency assistance for basic needs such as food, shelter and medical care for veterans, ex-service personnel and their dependents.  ",https://www.on.legion.ca/veterans-seniors/service-officers/benevolent-funds,External,Finances,For Veterans,
Health811,"Access health care 24/7 through phone, online chat or on the Health811 website.",https://health811.ontario.ca/static/guest/home,Internal,Health and well-being,Health care options,
Ontario Health Insurance Plan (OHIP) ,Find out what health care services are covered through OHIP.,https://www.ontario.ca/page/what-ohip-covers,Internal,Health and well-being,Health care options,
Apply for OHIP and get a health card,The Ontario Health Insurance Plan (OHIP) pays for many health services you may need. Learn how to apply for OHIP and get a health card.,https://www.ontario.ca/page/apply-ohip-and-get-health-card,Internal,Health and well-being,Health care options,
Check medication coverage,"Find out if your medication is covered through the Ontario Drug Benefit program.
",https://www.ontario.ca/check-medication-coverage/,Internal,Health and well-being,Health care options,financial assistance
Renew your health card,Learn how to renew an Ontario health card. You need a valid card to get coverage through the Ontario Health Insurance Plan (OHIP).,https://www.ontario.ca/page/health-card-renewal,Internal,Health and well-being,Health care options,renewal
Health coverage outside Ontario and for visitors,Learn about temporary health coverage and refund claims across Canada or outside of Canada.,https://www.ontario.ca/page/health-cards#section-1,Internal,Health and well-being,Health care options,
Public health units,"Learn how to get information from professionals on healthy lifestyles, including sexual health, vaccinations, addictions, and healthy growth and development. ",https://www.ontario.ca/page/public-health-units,Internal,Health and well-being,Health care options,
"Mental health and
addiction services","Find free, confidential support for depression, anxiety, addiction, gambling and other problems in your community. ",https://www.ontario.ca/page/mental-health-services,Internal,Health and well-being,Health care options,
"Services for Indigenous people 
and families","Find healing, health and wellness services. This includes counselling, advocacy, residential and day programs, referrals and translation services. ",https://www.ontario.ca/page/healing-health-and-wellness-services-indigenous-people-and-families,Internal,Health and well-being,Health care options,
Aboriginal Health Access Centres,"Find a list of centres. These are primary health care facilities for First Nations, Métis and Inuit communities.  ",https://www.allianceon.org/aboriginal-health-access-centres,External,Health and well-being,Health care options,
Provincial Geriatrics Leadership Ontario  ,"Find your local specialized geriatric services provider. These providers offer direct health care, build capacity and advocate for services for older adults. ",https://rgps.on.ca/regional-programs/,External,Health and well-being,Health care options,
Rainbow Health Ontario,Find a service provider and information on 2SLGBTQIA+ health and wellness. ,https://www.rainbowhealthontario.ca/,External,Health and well-being,Health care options,
211 Ontario,Search for health care options and support programs near you. ,https://211ontario.ca/search/,External,Health and well-being,Health care options,financial assistance
"Home and Community Care Support 
Services (HCCSS)  ",Find a local HCCSS provider to assess your needs and deliver in-home and community-based services to support your Health and well-being. ,https://www.healthcareathome.ca/getting-started/,External,Health and well-being,"Home and community
support services",
Find a health care provider with Health811,"Use our search tool to find doctors, nurse practitioners, specialists or health services for you and your family. ",https://health811.ontario.ca/static/guest/find-a-service,Internal,Health and well-being,"Home and community
support services",
Health Care Connect,Register for this service and have a nurse find a doctor or nurse practitioner.,https://hcc3.hcc.moh.gov.on.ca/HCCWeb/faces/layoutHCCHomePage.xhtml,External,Health and well-being,"Home and community
support services",
College of Physicians and Surgeons of Ontario,Search the online directory for registered doctors in Ontario to ask if they are accepting new patients.,http://www.cpso.on.ca/,External,Health and well-being,"Home and community
support services",
ConnexOntario counselling and referrals,"Get 24/7 counselling and referrals for mental health, drug and alcohol addiction, and problems with gambling.",https://www.connexontario.ca/en-ca/,External,Health and well-being,"Home and community
support services",
MedsCheck,Set up a free meeting with your pharmacist to make sure you are using your medications in a safe and proper way. ,https://www.ontario.ca/page/take-your-medication-safely,Internal,Health and well-being,"Home and community
support services",
Ontario Drug Benefit (ODB) Program ,Get help paying for prescription and treatment drugs.,https://www.ontario.ca/page/get-coverage-prescription-drugs,Internal,Health and well-being,"Home and community
support services",
Seniors Co-Payment Program  ,Learn about this program under the Ontario Drug Benefit program that helps you pay for prescription drugs. ,https://www.ontario.ca/page/get-coverage-prescription-drugs%22%20/l%20%22seniors,Internal,Health and well-being,"Home and community
support services",financial assistance
Trillium Drug Program,Get a reduction in what you pay if you have high prescription drug costs compared to your household income. ,https://www.ontario.ca/page/get-help-high-prescription-drug-costs,Internal,Health and well-being,"Home and community
support services",financial assistance
The Exceptional Access Program,"Get access to drugs not funded by the ODB program, or when no listed alternative is available.  ",https://www.health.gov.on.ca/en/pro/programs/drugs/eap_mn.aspx,Internal,Health and well-being,"Home and community
support services",
Non-insured health benefits for First Nations and Inuit  ,Get coverage for a range of health benefits that are not covered by other programs or insurance plans. ,https://www.sac-isc.gc.ca/eng/1572537161086/1572537234517,External,Health and well-being,"Home and community
support services",
Veterans Independence Program,"Get tax-free funding for professional health and support services, as well as home and personal care. ",https://www.veterans.gc.ca/eng/housing-and-home-life/help-at-home/veterans-independence-program,External,Health and well-being,"Home and community
support services",
Ontario Seniors Dental Care Program,"Access free, routine dental care if you are a low-income senior 65 years or older. ",https://www.ontario.ca/page/dental-care-low-income-seniors,Internal,Health and well-being,"Home and community
support services",financial assistance
Assistive Devices Program,"Get help paying for equipment and supplies for long-term physical disabilities, like wheelchairs and hearing aids. ",https://www.ontario.ca/page/assistive-devices-program,Internal,Health and well-being,"Home and community
support services","aid, diabetes, prosthetics, pumps, financial assistance"
Hearing Care Counselling Service,Get help coping with hearing loss if you’re a senior 55 years and over.,https://www.chs.ca/service/hearing-care-counselling-ages-55,External,Health and well-being,"Home and community
support services",
Ambulance services,"Learn about what OHIP covers if you need an ambulance for a medical emergency, depending on the circumstances. ",https://www.health.gov.on.ca/en/public/publications/ohip/amb.aspx,Internal,Health and well-being,"Home and community
support services",Ontario Health Insurance Plan
Northern Health Travel Grant,Apply for financial assistance if you live in Northern Ontario and must travel long distances to access medical specialist services. ,https://www.health.gov.on.ca/en/public/publications/ohip/northern.aspx,Internal,Health and well-being,"Home and community
support services",
Preventing and living with diabetes,Learn about living with diabetes if you have been diagnosed. ,https://www.ontario.ca/page/preventing-and-living-diabetes,Internal,Health and well-being,"Home and community
support services",
National Aboriginal Diabetes Program,Find programs and services that support and prevent diabetes in Indigenous communities. ,https://nada.ca/programs-and-projects/,External,Health and well-being,"Home and community
support services",
Colon cancer testing and prevention,"Information about colon cancer, including when you should get checked and tips to protect yourself. ",https://www.ontario.ca/page/colon-cancer-testing-and-prevention,Internal,Health and well-being,"Home and community
support services",
Bone mineral density (BMD) test  ,Learn who should take a BMD test and how it can tell if you have osteoporosis. ,https://osteoporosis.ca/bone-mineral-density-testing/,External,Health and well-being,"Home and community
support services",
Find mental health support,Learn about supports available to you and how to get help when you need it. ,https://www.ontario.ca/page/find-mental-health-support,Internal,Health and well-being,"Home and community
support services",
"Centre for Addiction and Mental Health 
(CAMH)  ",Find programs and services for seniors suffering from addiction or mental illness.  ,https://www.camh.ca/en/your-care/programs-and-services,External,Health and well-being,"Home and community
support services",
ConnexOntario,"Access free, 24/7, confidential health services and information if you are experiencing problems with mental health, addictions and gambling.  ",https://www.connexontario.ca/en-ca/,External,Health and well-being,"Home and community
support services",
