Resource title,Resource Description,Resource URL,Internal/External,Category,Sub Category
Last Post Fund,"Find out how eligible veterans can get funding for a dignified funeral and burial, and a military gravestone. ",https://www.lastpostfund.ca/,External,Caregiving,End of life decisions
"Bereavement Authority of 
Ontario","Know your options, rights and learn about funerals, burials, cremations and hydrolysis. ",https://thebao.ca/,External,Caregiving,End of life decisions
Bereaved Families of Ontario,"Find free individual and group grieving support programs, in both an open and closed setting if someone has died. ",https://thebao.ca/for-consumers/consumer-information-guide/,External,Caregiving,End of life decisions
Death outside Canada,"Find out what to do if a person dies in another country. 

Wills and estates",https://travel.gc.ca/assistance/emergency-info/death-abroad,External,Caregiving,End of life decisions
"Oversee the deceased's 
finances","If you are the executor of a deceased person’s estate, you must do the following on their behalf: 
  - notify the CRA of the date of death 
  - file an income tax form on their behalf  
  - contact their pensions and benefits 
  - inform the banks and financial institutions of the death 
  - cancel their government ID and permits 
  - notify their clubs, organizations, services and professional associations ",https://www.canada.ca/en/revenue-agency/services/tax/individuals/life-events/doing-taxes-someone-died.html,External,Caregiving,End of life decisions
Administrating estates,"Learn how someone’s assets and liabilities are handled after they die, including what happens if a person dies with or without a will. ",https://www.ontario.ca/page/administering-estates,Internal,Caregiving,End of life decisions
Ontario death certificate,"When someone dies in Ontario, order and use this certificate to settle an estate, access benefits or cancel certain government services. 

Government cards and registries

If you are the executor of a deceased person’s estate, contact the government agencies that apply to the deceased person: 
  - [Ontario government ID and permits](https://www.ontario.ca/locations/serviceontario)
  - [Social Insurance Number](https://www.canada.ca/en/employment-social-development/corporate/contact/sin.html)
  - [Canadian and Foreign Passports](https://www.canada.ca/en/immigration-refugees-citizenship/services/canadian-passports/help-centre.html)
  - [Citizenships and Permanent Resident Cards](https://ircc.canada.ca/english/helpcentre/index-featured-can.asp)
  - [Indian Status](https://www.sac-isc.gc.ca/eng/1291132820288/1603310905799)
  - [Firearms Licenses](https://www.rcmp-grc.gc.ca/on/cont/index-eng.htm)",https://www.ontario.ca/page/how-get-copy-ontario-death-certificate-online,Internal,Caregiving,End of life decisions
Home and Community Care Support Services,"Find a local service provider to arrange transportation services for when you need help and/or if other options are not 
available. ",https://www.healthcareathome.ca/find-my-hccss/,External,Driving and transportation,Transportation services
North Travel Health Grant,Get money to help cover your costs if you live in Northern Ontario and must travel long distances to access medical specialist services. ,Northern Health Travel Grants - Ontario Health Insurance (OHIP) - Publications - Public Information - MOH (gov.on.ca),External,Driving and transportation,Transportation services
GO Transit discount,Get a discount on your train or bus ride if you are 65 years or older. ,https://www.gotransit.com/en/travelling-on-go/seniors,External,Driving and transportation,Transportation services
Volunteer Driver Services,"Find volunteer driver services that may be available in your area through:  

  - the [Canadian Red Cross](https://www.redcross.ca/in-your-community/ontario/ontario-find-a-branch)
  - your [Royal Canadian Legion branch](https://www.legion.ca/contact-us/find-a-branch)
  - a [Seniors Active Living Centre program](https://www.ontario.ca/page/find-seniors-active-living-centre-program-near-you)",,External,Driving and transportation,Transportation services
211 Ontario,"Search in your area for: 

  - public transportation 
  - bus and specialized transit services  
  - organizations that provide transportation services",https://211ontario.ca/?_gl=1%2A1rsprgh%2A_ga%2ANDc1MjE5OTMxLjE2MDgzMjUzMTY.%2A_ga_HLLEK4SB6V%2AMTY3MzU1MDMxOS41LjEuMTY3MzU1MTYwNy4wLjAuMA..,External,Driving and transportation,Transportation services
Driver's License renewal,"If you are under 80, you need to renew your driver’s licence every 5 years. Learn how to renew. ",https://www.ontario.ca/page/renew-drivers-licence,Internal,Driving and transportation,Driver's license renewal
"Driver's licence renewal: 
80 years and over ","After you turn 80, you need to renew your driver’s licence every 2 years. Learn how to renew. ",https://www.ontario.ca/page/renew-g-drivers-licence-80-years-and-over,Internal,Driving and transportation,Driver's license renewal
DriveTest Centres,"Search for a centre near you and book your vision, written and road tests for all licence types.  ",https://drivetest.ca/,External,Driving and transportation,Driver's license renewal
"ServiceOntario digital 
reminders ","Get free reminders to renew your driver’s licence, licence plate, 
health card, or Ontario Photo Card. Service available for email, text message or phone call. ",https://www.ontario.ca/page/get-serviceontario-renewal-reminders,Internal,Driving and transportation,Driver's license renewal
Accessible parking permit,"Learn how to apply for a new accessible parking permit, get a traveller’s permit, get a permit for your company, replace a lost or stolen permit, or change information on your permit. ",https://www.ontario.ca/page/get-accessible-parking-permit,Internal,Driving and transportation,Vehicle permit and plates
Veteran license plate,Learn about the veteran graphic on licence plates and get the form to apply for one. ,https://www.ontario.ca/page/personalized-licence-plate#section-5,Internal,Driving and transportation,Vehicle permit and plates
"Used vehicle information 
package (UVIP)","Learn how to order a UVIP that contains a description of a vehicle and its Ontario history. If you are the seller, you are legally required to provide this package to a buyer when you sell a pre-owned vehicle. ",https://www.ontario.ca/page/used-vehicle-information-package,Internal,Driving and transportation,Buying or selling vehicles
"Canada Safety Council: 
55 Alive Driver Refresher Course ","For older drivers, take this driving course to help you address age-related driving challenges, review driving rules and learn
common causes of collisions. ",https://canadasafetycouncil.org/product/55-alive-driver-refresher-course/,External,Driving and transportation,Mature driver education
"Canadian Automobile 
Association (CAA): 
Senior Drivers Toolkit  ","Read through the toolkit designed for seniors and their loved ones. It helps you assess fitness to drive, maintian driving confidence and modify driving habits, if needed. ",https://www.caa.ca/driving-safely/senior-drivers/,External,Driving and transportation,Mature driver education
Employment Ontario,"Get help with upgrading your skills, finding a job, training and skills development. ",https://www.ontario.ca/page/employment-ontario,Internal,Employment and learning,Working in Ontario
"Ontario Job Creation
Partnerships","Participate in projects to gain skills, get work experience and increase your chances of finding long-term employment. ",https://www.ontario.ca/page/ontario-job-creation-partnerships,Internal,Employment and learning,Working in Ontario
Better Jobs Ontario,"Get skills training and financial support if one of the following applies to you: 

  - laid off and have not been working 
  - laid off and are working a temporary job just to cover costs 
  - unemployed for six months or longer and you are part of a low-income household ",https://www.ontario.ca/page/better-jobs-ontario,Internal,Employment and learning,Working in Ontario
"Work in your 
profession or trade","Learn how to continue working in your profession or trade if you’ve been trained in another country. 

Get the qualifications you need to practice your profession or trade in Ontario through: 

  - [Ontario Bridge Training Program](https://www.ontario.ca/page/work-your-profession-or-trade#obtp)
  - [trade equivalency assessment](https://www.ontario.ca/page/work-your-profession-or-trade#tea)
  - [Health Force Ontario](https://www.ontario.ca/page/work-your-profession-or-trade#hfo)
  - [Global Experience Ontario](https://www.ontario.ca/page/work-your-profession-or-trade#geo)",https://www.ontario.ca/page/work-your-profession-or-trade,Internal,Employment and learning,Working in Ontario
Employment Standards Act (ESA) ,"Know your rights under the law on minimum wage, hours of work limits, termination of employment, severance pay, 
vacation and more. ",https://www.ontario.ca/document/your-guide-employment-standards-act-0,Internal,Employment and learning,Working in Ontario
Continuing education,"Find education programs and courses that align with your learning and skills development goals: 

  - [public school boards](https://www.ontario.ca/page/find-school-board-or-school-authority)
  - [universities](https://www.ontario.ca/page/ontario-universities)
  - [colleges](https://www.ontario.ca/page/ontario-colleges)
  - [OntarioLearn](https://www.ontariolearn.com/)",https://www.ontario.ca/page/go-college-or-university-ontario,Internal,Employment and learning,Lifelong learning
"TVO: Independent 
Learning Centre","Find flexible, affordable online high school courses and the personal support you need to reach your learning goals.  ",https://www.ilc.org/,External,Employment and learning,Lifelong learning
Lifelong Learning Plan,"Find out how to withdraw money from your RRSPs to help pay for full-time education for yourself, your spouse or common-law partner. ",https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/rc4112/lifelong-learning-plan.html,External,Employment and learning,Lifelong learning
"Third Age Network: 
An association of  
lifelong learning groups
 in Ontario ",Join or start a learning group for older adults. Meet new friends and learn in a friendly social setting.,https://thirdagenetwork.ca/,External,Employment and learning,Lifelong learning
Computer Training,"Find drop-ins or workshops, that will help you improve your technology and digital skills in your community, at: 

  - [Public libraries](https://www.ontario.ca/page/ontario-public-libraries#section-7)
  - [211 Ontario](https://211ontario.ca/?_gl=1%2A1rsprgh%2A_ga%2ANDc1MjE5OTMxLjE2MDgzMjUzMTY.%2A_ga_HLLEK4SB6V%2AMTY3MzU1MDMxOS41LjEuMTY3MzU1MTYwNy4wLjAuMA..)
  - [Seniors Active Living Centre programs](https://www.ontario.ca/page/find-seniors-active-living-centre-program-near-you)",,External,Employment and learning,Lifelong learning
Ontario Arts Council,Learn what type of art grants are available to you and how to apply. ,https://www.arts.on.ca/,External,Employment and learning,Lifelong learning
Benefits for Newcomers,"If you are an immigrant or refugee: 

  - [settlement agencies](https://www.ontario.ca/page/getting-settled-ontario) help you find the services you need to settle in Ontario 
  - use [Settlement.Org’s](https://services.settlement.org/en/) “find services near me” locator to search for community agencies in your community 
  - you can take [English and French language](https://www.ontario.ca/page/improve-your-english-and-french) training classes for your job and education 
  - [MOFIF (Mouvement Ontarien des Femmes Immigrantes Francophones)](http://mofif.ca/) improves the lives for Francophone immigrant girls and women, and promotes integration and active participation in all areas of society ",,External,Employment and learning,Services for newcomers
Low Income Benefits,"If you are a low-to-moderate income senior, you may be eligible to receive the following: 

  - [Ontario Trillium Benefit](https://www.ontario.ca/page/ontario-trillium-benefit)  — a tax-free payment to help you pay for energy costs, sales tax and property tax. 
  - [Ontario Senior Homeowners’ Property Tax Grant](https://www.ontario.ca/page/senior-homeowners-property-tax-grant) — up to $500 back on your property taxes. 
  - [Ontario Seniors Care at Home Tax Credit](https://www.ontario.ca/page/ontario-seniors-care-home-tax-credit) — a tax credit to help with medical expenses, including expenses that support aging at home such as hearing aids, hospital beds, and attendant care. 
  - [Seniors Public Transit Tax Credit](https://www.ontario.ca/page/ontario-seniors-public-transit-tax-credit) — a tax credit to help with public transit costs. 
  - [Low-Income Energy Assistance Program](https://www.oeb.ca/consumer-information-and-protection/bill-assistance-programs/low-income-energy-assistance-program) — up to $500 in emergency assistance for your electricity bills ($600 if your home is heated electrically) and $500 for your natural gas bills.  
  - [Ontario Electricity Support Program](https://ontarioelectricitysupport.ca/) — a reduction on your electricity bill.",,External,Finances,Tax credits
Seniors' Home Safety Tax Credit,"If you are a senior or living with one, the [Seniors’ Home Safety Tax Credit](https://www.ontario.ca/page/seniors-home-safety-tax-credit) is a refundable personal income tax credit can help you make your home safer and more accessible, helping you stay in your home longer (available for the 2021 and 2022 tax years). ",https://www.ontario.ca/page/seniors-home-safety-tax-credit,Internal,Finances,Tax credits
CRA: Canada Revenue Agency  ,"The CRA administers: 

  - tax laws for the Government of Canada and for most provinces and territories 
  - social and economic programs delivered through the tax system ",https://www.canada.ca/en/revenue-agency.html,External,Finances,Tax credits
Taxpayer Bill of Rights,"Understand the treatment you are entitled to when you deal with the CRA. You have a right to be treated professionally,  courteously and fairly as a taxpayer.  ",https://www.canada.ca/en/revenue-agency/services/forms-publications/publications/rc17/taxpayer-bill-rights-guide-understanding-your-rights-a-taxpayer.html,External,Finances,Tax credits
Old Age Security,Apply to receive a pension that provides monthly payments to eligible Canadians who are 65 years or older. ,https://www.canada.ca/en/services/benefits/publicpensions/cpp/old-age-security.html,External,Finances,Pensions and other benefits
Guaranteed Income Statement,"Learn about this income supplement for low-income seniors living in Canada who receive  Old Age Security pension. Enrolment is automatic, but in certain cases you may need to apply. 

Benefit for your spouse or common-law partner 

Learn about how spouses or common-law partners may qualify to receive the [Guaranteed Income Supplement Allowance](https://www.canada.ca/en/services/benefits/publicpensions/cpp/old-age-security/guaranteed-income-supplement/allowance.html) or [Allowance for the Survivor](https://www.canada.ca/en/services/benefits/publicpensions/cpp/old-age-security/guaranteed-income-supplement/allowance-survivor.html).",https://www.canada.ca/en/services/benefits/publicpensions/cpp/old-age-security/guaranteed-income-supplement.html,External,Finances,Pensions and other benefits
"Canada Pension Plan (CPP) 
retirement pension  ","Apply for a monthly, taxable benefit that replaces part of your income when you retire. If you are a CPP contributor 
and qualify, you’ll receive this pension for the rest of your life.  ",https://www.canada.ca/en/services/benefits/publicpensions/cpp.html,External,Finances,Pensions and other benefits
CPP disability benefits,Apply for monthly benefits if you are a CPP contributor under the age of 65 and cannot work because of a disability. ,https://www.canada.ca/en/services/benefits/publicpensions/cpp/cpp-disability-benefit.html,External,Finances,Pensions and other benefits
CPP survivor’s pension  ,Apply for a monthly payment paid to the legal spouse or common-law partner of the deceased CPP contributor.  ,https://www.canada.ca/en/services/benefits/publicpensions/cpp/cpp-survivor-pension.html,External,Finances,Pensions and other benefits
CPP death benefit  ,"Apply for a one-time payment, payable to the estate or other eligible individuals, on behalf of a deceased CPP contributor.  ",https://www.canada.ca/en/services/benefits/publicpensions/cpp/cpp-death-benefit.html,External,Finances,Pensions and other benefits
CPP children’s benefit  ,Learn about a monthly benefit for dependent children under 25 years of a deceased CPP contributor. ,https://www.canada.ca/en/services/benefits/publicpensions/cpp/cpp-childrens-benefit.html,External,Finances,Pensions and other benefits
CPP pension sharing  ,Learn how to share your pension with your legal spouse or common-law partner.  ,https://www.canada.ca/en/services/benefits/publicpensions/cpp/share-cpp.html,External,Finances,Pensions and other benefits
"International social security 
agreements and the CPP ",Get help with your business if you are an employer who sends employees abroad or if you are a self-employed worker who provides services abroad and you are a CPP contributor. ,https://www.canada.ca/en/revenue-agency/services/tax/canada-pension-plan-cpp-employment-insurance-ei-rulings/international-social-security-agreements-canada-pension-plan.html,External,Finances,Pensions and other benefits
Employment Insurance benefits and leave ,"Find benefits and leave information if you are a worker, sick or providing care for a loved one. Learn how to apply and submit 
reports. ",https://www.canada.ca/en/services/benefits/ei.html,External,Finances,Pensions and other benefits
Guaranteed Annual Income System (GAINS) ,Get monthly non-taxable payments if you are an eligible low-income senior. ,https://www.ontario.ca/page/guaranteed-annual-income-system-payments-seniors,Internal,Finances,Pensions and other benefits
Service Canada ,Find a wide range of government services and benefits that are available to you. ,https://www.canada.ca/en/employment-social-development/corporate/portfolio/service-canada.html,External,Finances,Pensions and other benefits
About Your Taxes,Learn how the Canadian tax system works. ,https://www.canada.ca/en/revenue-agency/services/tax/individuals/educational-programs.html,External,Finances,File your taxes
File your tax return ,"Learn about filing your personal income tax and benefit return. You can prepare and file your tax return with the CRA:  

  - [individual tax filing assistance](https://www.canada.ca/en/revenue-agency/services/tax/individuals/community-volunteer-income-tax-program/individual-tax-filing-assistance.html) will help you do your taxes over       the phone if you are  eligible. 
  - [GST/HST NETFILE](https://www.canada.ca/en/revenue-agency/services/e-services/e-services-businesses/gst-hst-netfile.html) allows you to file GST/HST returns and eligible rebates 
  - [Community Volunteer Income Tax Program](https://www.canada.ca/en/revenue-agency/services/tax/individuals/community-volunteer-income-tax-program.html) hosts free tax clinics where volunteers file tax returns if you have a modest income and a simple tax situation.  ",https://www.ontario.ca/page/filing-your-tax-return,Internal,Finances,File your taxes
FP Canada,Search for a professional financial planner in your area or verify the certification status of a planner. ,https://www.fpcanada.ca/findaplanner,External,Finances,Financial Planning
Registered Retirement Savings Plan (RRSP)  ,Learn how a savings plan you contribute to over the course of your working life can help you save for retirement. RRSPs also have special tax advantages and benefits that can help you before you retire. ,https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/rrsps-related-plans.html,External,Finances,Financial Planning
Registered Retirement Income Fund (RRIF)  ,"Learn how an arrangement between you and a carrier (an insurance company, a trust company or a bank) may allow you to 
draw an income from your other investments and savings. ",https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/registered-retirement-income-fund-rrif.html,External,Finances,Financial Planning
Tax-Free Savings Account (TFSA)  ,Learn about this type of bank account that allows you to set moneyaside tax-free throughout your lifetime.  ,https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/tax-free-savings-account.html,External,Finances,Financial Planning
Lifelong Learning Plan,"Learn about this plan that allows you to take up to $10,000 in a calendar year from your RRSPs to pay for training or education for you or your spouse/common-law partner.  ",https://www.canada.ca/en/revenue-agency/services/tax/individuals/topics/rrsps-related-plans/lifelong-learning-plan.html,External,Finances,Financial Planning
GetSmarterAboutMoney.ca   ,Get unbiased and independent financial tools to help you make better financial decisions. ,https://www.getsmarteraboutmoney.ca/,External,Finances,Financial Planning
Social assistance,"Learn how to get financial and employment assistance if you don’t have enough money for things like food and housing, or if you have a disability and are in financial need. ",https://www.ontario.ca/page/social-assistance,Internal,Finances,Financial aid
"March of Dimes Canada: Home and Vehicle 
Modification Program  ",Get funding for basic home and/or vehicle modifications if you have mobility restrictions. ,https://www.marchofdimes.ca/en-ca/programs/am/hvmp/Pages/modchvmp.aspx,External,Finances,Financial aid
Medical Expense Tax Credit,Get a tax credit if you have sustained significant medical expenses for yourself or your dependents. ,https://www.canada.ca/en/revenue-agency/services/tax/technical-information/income-tax/income-tax-folios-index/series-1-individuals/folio-1-health-medical/income-tax-folio-s1-f1-c1-medical-expense-tax-credit.html,External,Finances,Financial aid
Veterans Affairs Canada,"Find specific services and benefits to improve your well-being if you are a current or former member of the CAF or RCMP, or a family member. ",https://www.veterans.gc.ca/,External,Finances,For Veterans
Bureau of Pensions Advocates  ,Get free legal advice and representation to help you review or appeal a disability benefits decision made by Veterans Affairs Canada. ,https://www.veterans.gc.ca/eng/veterans-rights/how-to-appeal/bureau-pensions-advocates,External,Finances,For Veterans
War Veterans Allowance  ,"Get a tax-free monthly benefit if you are a low-income war veteran, their dependent or survivor. ",https://www.veterans.gc.ca/eng/financial-support/income-support/war-veterans-allowance,External,Finances,For Veterans
Soldiers’ Aid Commission of Ontario ,Learn about the commission and how it provides financial assistance to eligible veterans and their families in financial need. ,https://www.ontario.ca/page/soldiers-aid-commission,Internal,Finances,For Veterans
Royal Canadian Legion: Benevolent Funds  ,"Learn how this fund provides emergency assistance for basic needs such as food, shelter and medical care for veterans, 
ex-service personnel and their dependents.  ",https://www.on.legion.ca/veterans-seniors/service-officers/benevolent-funds,External,Finances,For Veterans
Health811,"Access health care 24/7 online, phone or chat: 

  - [find a service and health care providers](https://health811.ontario.ca/static/guest/find-a-service)
  - call 811, TTY:[1-866-797-0007]
  - [chat online](https://health811.ontario.ca/static/guest/chat-online)",https://health811.ontario.ca/static/guest/home,External,Health and well-being,Health care options
Ontario Health Insurance Plan (OHIP) ,"Get health services you may need paid for through OHIP. 

  - [Apply for OHIP](https://www.ontario.ca/page/apply-ohip-and-get-health-card)
  - [Documents needed to get a health card](https://www.ontario.ca/page/documents-needed-get-health-card)
  - [Learn what  OHIP covers](https://www.ontario.ca/page/what-ohip-covers)
  - [OHIP+](https://www.ontario.ca/page/learn-about-ohip-plus)
  - [Renew your health card](https://www.ontario.ca/page/health-card-renewal#section-0)
  - [Search for covered prescription drugs](https://www.ontario.ca/check-medication-coverage/)
  - Get temporary health coverage [across Canada](https://www.ontario.ca/page/ohip-coverage-across-canada) or [outside of Canada](https://www.ontario.ca/page/ohip-coverage-while-outside-canada). ",https://www.ontario.ca/page/health-cards,Internal,Health and well-being,Health care options
Public health units,"Learn how to get information from professionals on healthy lifestyles, including sexual health, vaccinations, addictions, and healthy growth and development. ",https://www.ontario.ca/page/public-health-units,External,Health and well-being,Health care options
"Mental health and
addiction services","Find free, confidential support for depression, anxiety, addiction, gambling and other problems in your community. ",https://www.ontario.ca/page/mental-health-services,Internal,Health and well-being,Health care options
"Services for Indigenous people 
and families","Find healing, health and wellness services. This includes counselling, advocacy, residential and day programs, referrals and translation services. ",https://www.ontario.ca/page/healing-health-and-wellness-services-indigenous-people-and-families,Internal,Health and well-being,Health care options
Aboriginal Health Access Centre,"Find a list of centres. These are primary health care facilities for First Nations, Métis and Inuit communities.  ",https://www.allianceon.org/aboriginal-health-access-centres,External,Health and well-being,Health care options
Provincial Geriatrics Leadership Ontario  ,"Find your local specialized geriatric services provider. These providers offer direct health care, build capacity and advocate for services for older adults. ",https://rgps.on.ca/regional-programs/,External,Health and well-being,Health care options
Rainbow Health Ontario,Find a service provider and information on 2SLGBTQIA+ health and wellness. ,https://www.rainbowhealthontario.ca/,External,Health and well-being,Health care options
211 Ontario,Search for health care options and support programs near you. ,https://211ontario.ca/search/,External,Health and well-being,Health care options
"Home and Community Care Support 
Services (HCCSS)  ",Find a local HCCSS provider to assess your needs and deliver in-home and community-based services to support your Health and well-being. ,https://www.healthcareathome.ca/getting-started/,External,Health and well-being,"Home and community
support services"
Find a health care provider with Health811,"Use our search tool to find doctors, nurse practitioners, specialists, or health services for you and your family. 

You can also find a doctor, nurse or counsellor with: 

  - The [College of Physicians and Surgeons of Ontario](http://www.cpso.on.ca/)directory provides information about registered doctors in Ontario. 
  - Register with [Health Care connect](https://www.ontario.ca/page/find-family-doctor-or-nurse-practitioner) and a nurse will search for a doctor or nurse practitioner who is accepting new patients in your community. 
  - [ConnexOntario](https://www.connexontario.ca/en-ca/) provides 24/7 counselling and referrals for mental health, drug and alcohol addiction and problems with gambling.",https://health811.ontario.ca/static/guest/find-a-service,External,Health and well-being,"Home and community
support services"
MedsCheck,Set up a free meeting with your pharmacist to make sure you are using your medications in a safe and proper way. ,https://www.ontario.ca/page/take-your-medication-safely,Internal,Health and well-being,"Home and community
support services"
Ontario Drug Benefit (ODB) Program ,"Get help paying for prescription drugs.  

It also helps you pay for some: 

  - [allergy shots and epinephrine injectable products](https://www.ontario.ca/page/get-coverage-prescription-drugs#allergy) 
  - [products used in monitoring and testing for diabetes](https://www.ontario.ca/page/get-coverage-prescription-drugs#diabetes) 
  - [prescribed over-the-counter drugs](https://www.ontario.ca/page/get-coverage-prescription-drugs#overthecounter)
  - [nutrition products](https://www.ontario.ca/page/get-coverage-prescription-drugs#nutrition)
  - [drugs used in the treatment of HIV/AIDS](https://www.ontario.ca/page/get-coverage-prescription-drugs#HIV)
  - [drugs used in palliative care](https://www.ontario.ca/page/get-coverage-prescription-drugs#palliative) 
  - [support and treatments to quit smoking](https://www.ontario.ca/page/get-coverage-prescription-drugs#section-2)",https://www.ontario.ca/page/get-coverage-prescription-drugs,Internal,Health and well-being,"Home and community
support services"
Seniors Co-Payment Program  ,Learn about this program under the Ontario Drug Benefit program that helps you pay for prescription drugs. ,https://www.ontario.ca/page/get-coverage-prescription-drugs%22%20/l%20%22seniors,Internal,Health and well-being,"Home and community
support services"
Trillium Drug Program,Get a reduction in what you pay if you have high prescription drug costs compared to your household income. ,https://www.ontario.ca/page/get-help-high-prescription-drug-costs,Internal,Health and well-being,"Home and community
support services"
The Exceptional Access Program,"Get access to drugs not funded by the ODB program, or when no listed alternative is available.  ",https://www.health.gov.on.ca/en/pro/programs/drugs/eap_mn.aspx,External,Health and well-being,"Home and community
support services"
Non-insured health benefits for First Nations and Inuit  ,Get coverage for a range of health benefits that are not covered by other programs or insurance plans. ,https://www.sac-isc.gc.ca/eng/1572537161086/1572537234517,External,Health and well-being,"Home and community
support services"
Veterans Independence Program,"Get tax-free funding for professional health and support services, as well as home and personal care. ",https://www.veterans.gc.ca/eng/housing-and-home-life/help-at-home/veterans-independence-program,External,Health and well-being,"Home and community
support services"
Ontario Seniors Dental Care Program,"Access free, routine dental care if you are a low-income senior 65 years or older. ",https://www.ontario.ca/page/dental-care-low-income-seniors,Internal,Health and well-being,"Home and community
support services"
Assistive Devices Program,"Get help paying for equipment and supplies for long-term physical disabilities, like wheelchairs and hearing aids. ",https://www.ontario.ca/page/assistive-devices-program,Internal,Health and well-being,"Home and community
support services"
Hearing Care Counselling Service,Get help coping with hearing loss if you’re a senior 55 years and over.,https://www.chs.ca/service/hearing-care-counselling-ages-55,External,Health and well-being,"Home and community
support services"
Ambulance services,"Learn about what OHIP covers if you need an ambulance for a medical emergency, depending on the circumstances. ",https://www.health.gov.on.ca/en/public/publications/ohip/amb.aspx,External,Health and well-being,"Home and community
support services"
Northern Health Travel Grant,Apply for financial assistance if you live in Northern Ontario and must travel long distances to access medical specialist services. ,https://www.health.gov.on.ca/en/public/publications/ohip/northern.aspx,External,Health and well-being,"Home and community
support services"
Preventing and living with diabetes,Learn about living with diabetes if you have been diagnosed. ,https://www.ontario.ca/page/preventing-and-living-diabetes,Internal,Health and well-being,"Home and community
support services"
National Aboriginal Diabetes Program,Find programs and services that support and prevent diabetes in Indigenous communities. ,https://nada.ca/programs-and-projects/,External,Health and well-being,"Home and community
support services"
Colon cancer testing and prevention,"Information about colon cancer, including when you should get checked and tips to protect yourself. ",https://www.ontario.ca/page/colon-cancer-testing-and-prevention,Internal,Health and well-being,"Home and community
support services"
Bone mineral density (BMD) test  ,"Learn who should take a BMD test and how it can tell if you have osteoporosis. 

Addiction and mental health ",https://osteoporosis.ca/bone-mineral-density-testing/,External,Health and well-being,"Home and community
support services"
Find mental health support,Learn about supports available to you and how to get help when you need it. ,https://www.ontario.ca/page/find-mental-health-support,Internal,Health and well-being,"Home and community
support services"
"Centre for Addiction and Mental Health 
(CAMH)  ",Find programs and services for seniors suffering from addiction or mental illness.  ,https://www.camh.ca/en/your-care/programs-and-services,External,Health and well-being,"Home and community
support services"
ConnexOntario,"Access free, 24/7, confidential health services and information if you are experiencing problems with mental health, addictions and gambling.  ",https://www.connexontario.ca/en-ca/,External,Health and well-being,"Home and community
support services"
